Energy[keV],Count,
8.050,11623,
8.060,11291,
8.070,10824,
8.080,9973,
8.090,9380,
8.100,8386,
8.110,7207,
8.120,6135,
8.130,5178,
8.140,4151,
8.150,3420,
8.160,2862,
8.170,2201,
8.180,1745,
8.190,1438,
8.200,1141,
8.210,995,
8.220,940,
8.230,765,
8.240,659,
8.250,632,
8.260,600,
8.270,593,
8.280,599,
8.290,611,
8.300,531,
8.310,550,
8.320,535,
8.330,554,
8.340,549,
8.350,515,
8.360,582,
8.370,544,
8.380,538,
8.390,549,
8.400,502,
8.410,518,
8.420,495,
8.430,555,
8.440,512,
8.450,502,
8.460,519,
8.470,528,
8.480,479,
8.490,504,
8.500,480,
8.510,527,
8.520,524,
8.530,529,
8.540,449,
8.550,494,
8.560,483,
8.570,533,
8.580,522,
8.590,528,
8.600,491,
8.610,513,
8.620,508,
8.630,546,
8.640,557,
8.650,554,
8.660,546,
8.670,523,
8.680,543,
8.690,574,
8.700,566,
8.710,583,
8.720,572,
8.730,612,
8.740,578,
8.750,640,
8.760,607,
8.770,725,
8.780,764,
8.790,835,
8.800,923,
8.810,1091,
8.820,1185,
8.830,1305,
8.840,1496,
8.850,1609,
8.860,1843,
8.870,1930,
8.880,1979,
8.890,2050,
8.900,2189,
8.910,2167,
8.920,2121,
8.930,2065,
8.940,2006,
8.950,1852,
8.960,1713,
8.970,1622,
8.980,1410,
8.990,1190,
9.000,1099,
9.010,942,
9.020,904,
9.030,747,
9.040,619,
9.050,623,
9.060,598,
9.070,534,
9.080,487,
9.090,485,
9.100,465,
9.110,442,
9.120,458,
9.130,454,
9.140,462,
9.150,484,
9.160,483,
9.170,459,
9.180,516,
9.190,502,
9.200,509,
9.210,522,
9.220,542,
9.230,499,
9.240,570,
9.250,530,
9.260,597,
9.270,543,
9.280,549,
9.290,546,
9.300,535,
9.310,534,
9.320,527,
9.330,511,
9.340,498,
9.350,455,
9.360,500,
9.370,485,
9.380,464,
9.390,473,
9.400,469,
9.410,420,
9.420,458,
9.430,447,
9.440,423,
9.450,427,
9.460,428,
9.470,402,
9.480,409,
9.490,419,
9.500,423,
9.510,450,
9.520,414,
9.530,420,
9.540,401,
9.550,411,
9.560,410,
9.570,446,
9.580,408,
9.590,423,
9.600,426,
9.610,400,
9.620,413,
9.630,439,
9.640,378,
9.650,438,
9.660,410,
9.670,425,
9.680,382,
9.690,379,
9.700,402,
9.710,384,
9.720,414,
9.730,386,
9.740,368,
9.750,378,
9.760,375,
9.770,364,
9.780,393,
9.790,392,
9.800,346,
9.810,387,
9.820,378,
9.830,377,
9.840,374,
9.850,347,
9.860,408,
9.870,363,
9.880,375,
9.890,376,
9.900,348,
9.910,380,
9.920,368,
9.930,365,
9.940,351,
9.950,378,
9.960,378,
9.970,376,
9.980,379,
9.990,388,
10.000,390,
10.010,384,
10.020,373,
10.030,386,
10.040,341,
10.050,355,
10.060,347,
10.070,361,
10.080,364,
10.090,380,
10.100,356,
10.110,359,
10.120,349,
10.130,381,
10.140,365,
10.150,372,
10.160,391,
10.170,330,
10.180,409,
10.190,370,
10.200,376,
10.210,379,
10.220,349,
10.230,400,
10.240,366,
