Mon Jan 13 19:20:22 2020

Number of Points = 3013
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
-10.877897	-2.783073	3.160269	0.002025	0.472537
-10.724203	-2.839687	3.170266	0.001997	0.472531
-10.682160	-2.855673	3.180262	0.001989	0.472530
-10.580749	-2.830869	3.190259	0.001970	0.472735
-10.584130	-2.790087	3.200256	0.001970	0.472871
-10.479923	-2.826714	3.210253	0.001951	0.472874
-10.337386	-2.881647	3.220250	0.001925	0.472861
-10.481278	-2.809410	3.230246	0.001950	0.472935
-10.228865	-2.842719	3.240243	0.001904	0.473124
-10.252152	-2.834751	3.250240	0.001908	0.473126
-10.083753	-2.893971	3.260237	0.001877	0.473129
-10.051428	-2.906705	3.270234	0.001871	0.473128
-9.917507	-2.874351	3.280230	0.001847	0.473396
-9.807024	-2.902914	3.290227	0.001826	0.473434
-9.728903	-2.930678	3.300224	0.001812	0.473436
-9.984340	-2.842737	3.310221	0.001857	0.473431
-9.890584	-2.877102	3.320218	0.001840	0.473430
-9.709694	-2.853671	3.330214	0.001807	0.473724
-9.598429	-2.891276	3.340211	0.001786	0.473732
-9.659535	-2.870156	3.350208	0.001797	0.473733
-9.680001	-2.852139	3.360205	0.001800	0.473772
-9.457994	-2.843684	3.370202	0.001760	0.474064
-9.522218	-2.822635	3.380198	0.001771	0.474061
-9.486854	-2.833070	3.390195	0.001764	0.474071
-9.314929	-2.830415	3.400192	0.001733	0.474285
-9.252129	-2.828925	3.410189	0.001721	0.474366
-9.137162	-2.869366	3.420186	0.001700	0.474369
-9.172763	-2.858823	3.430182	0.001706	0.474365
-9.039658	-2.829051	3.440179	0.001681	0.474624
-8.935265	-2.849200	3.450176	0.001662	0.474682
-8.869720	-2.874179	3.460173	0.001650	0.474678
-8.865305	-2.874796	3.470170	0.001649	0.474684
-8.800850	-2.850887	3.480166	0.001637	0.474842
-8.880484	-2.779569	3.490163	0.001651	0.474989
-8.734783	-2.831306	3.500160	0.001624	0.474990
-8.729303	-2.827629	3.510157	0.001622	0.475012
-8.494715	-2.820278	3.520154	0.001580	0.475314
-8.417483	-2.847549	3.530150	0.001565	0.475317
-8.315611	-2.883040	3.540147	0.001546	0.475321
-8.360787	-2.867280	3.550144	0.001554	0.475323
-8.220463	-2.859250	3.560141	0.001528	0.475517
-8.011546	-2.900901	3.570138	0.001490	0.475626
-7.994477	-2.906095	3.580134	0.001487	0.475632
-8.094167	-2.873469	3.590131	0.001504	0.475626
-8.150775	-2.854746	3.600128	0.001514	0.475624
-7.942632	-2.868810	3.610125	0.001476	0.475824
-7.856193	-2.865304	3.620122	0.001460	0.475940
-7.798453	-2.887627	3.630118	0.001449	0.475936
-7.890546	-2.855448	3.640115	0.001466	0.475938
-7.704145	-2.873668	3.650112	0.001431	0.476098
-7.605833	-2.865191	3.660109	0.001413	0.476244
-7.438743	-2.925339	3.670106	0.001383	0.476243
-7.582761	-2.874671	3.680102	0.001408	0.476245
-7.476037	-2.911918	3.690099	0.001389	0.476249
-7.314866	-2.902710	3.700096	0.001359	0.476471
-7.233091	-2.898841	3.710093	0.001344	0.476583
-7.102617	-2.949676	3.720090	0.001320	0.476569
-7.116509	-2.944877	3.730086	0.001322	0.476571
-7.301854	-2.879329	3.740083	0.001355	0.476575
-7.063140	-2.909915	3.750080	0.001312	0.476755
